val_error,train_error
0.476953125,0.7497749329
0.405859375,0.3420838416
0.44921875,0.611872077
0.446875,0.0107281702
0.400390625,0.2622837424
0.387109375,0.1941175014
0.719140625,0.8927802444
0.5046875,0.3745140731
0.5890625,0.6977103353
0.496875,0.4368267655
0.6,0.7816826701
0.450390625,0.7207922935
0.42265625,0.4680074453
0.368359375,0.1707446426
0.45390625,0.3357120454
0.719140625,0.9000935555
0.6390625,0.8828152418
0.385546875,0.0053294301
0.57421875,0.7411887646
0.331640625,0.0008655895
0.459765625,0.2844401896
0.690625,0.8983452916
0.421484375,0.3875816166
0.428125,0.5107160807
0.6703125,0.8521652222
0.416015625,0.7189256549
0.4421875,0.5752179027
0.352734375,2.2194602934178E-005
0.6625,0.5728489161
0.47109375,0.5098976493
0.36015625,0.2188446224
0.39296875,0.8323790431
0.546484375,0.6859199405
0.449609375,0.0664763451
0.33515625,0
0.51484375,0.2354933023
0.53125,0.521881938
0.286328125,0.1348485649
0.45390625,0.0024468575
0.48515625,0.6758859754
0.427734375,0.5160436034
0.50703125,0.6264076233
0.44296875,0.6801018119
0.33125,0.0428040437
0.400390625,0.3468506336
0.396875,0.3833066523
0.489453125,0.6569874883
0.668359375,0.8796496391
0.446875,0.0021306819
0.501953125,0.7440709472
0.406640625,0.3603235483
0.5578125,0.6721343398
0.3671875,0.1138252169
0.417578125,0.7911363244
0.555078125,0.5993987322
0.717578125,0.899266541
0.467578125,0.7919883132
0.471875,2.2194602934178E-005
0.4328125,0.4712868333
0.520703125,0.825615108
0.3765625,0.4776001871
0.415625,0.3200784922
0.458984375,0.0726110116
0.535546875,0.8872234225
0.519140625,0.7642072439
0.735546875,0.7498968244
0.727734375,0.8936100006
0.48828125,0.8517045975
0.447265625,0.378080368
0.428515625,0.4436599612
0.454296875,0.840860486
0.400390625,0.5643160939
0.355859375,0.3771548271
0.676171875,0.8961180449
0.381640625,0.6404358149
0.421875,0.2859377563
0.56171875,0.7372806072
0.35390625,0.0794660226
0.55859375,0.5392392874
0.458203125,0.6949363947
0.3828125,0.3440642357
0.487109375,0.3367984295
0.39140625,0.4738948643
0.33828125,0.0837639868
0.525390625,0.5209435225
0.58515625,0.7873083949
0.370703125,0.6251280904
0.482421875,0.3740534484
0.6390625,0.8042478561
0.33359375,0.7249263525
0.435546875,0.5578835607
0.71484375,0.8795666695
0.41953125,0.5696918368
0.45078125,0.2452305108
0.683984375,0.8984753489
0.46171875,0.4744793475
0.45625,0.2832467556
0.503515625,0.6425777674
0.60625,0.3607647121
0.28828125,0.0819097683
0.6109375,0.8539073467
0.52421875,0.7179506421
0.39765625,0.8262645602
0.409765625,0.4438873827
0.420703125,0.134946689
0.4265625,0.5746642351
0.346875,0.3744763136
0.4828125,0.1448392421
0.458984375,0.1123518124
0.422265625,0.577947855
0.587109375,0.8431013823
0.41484375,0.5757564306
0.558203125,0.5902829766
0.4640625,0.8228108287
0.528125,0.8761962056
0.537890625,0.7409142852
0.42734375,0.7321454287
0.481640625,0.6743728518
0.403515625,0.2004016787
0.412109375,0.7353570461
0.43828125,0.4854021966
0.71328125,0.1798584461
0.565625,0.5304502249
0.46328125,0.7970346212
0.470703125,0.608101368
0.362109375,0.6769151688
0.7171875,0.8843217492
0.45703125,0.4007422328
0.6484375,0.8329015374
0.42890625,0.1801777333
0.4109375,0.7540421486
0.416796875,0.2492095679
0.553515625,0.155230999
0.423046875,0.2525971532
0.487890625,0.602966249
0.512109375,0.7017968297
0.51953125,0.8169981837
0.4453125,0.283288002
0.368359375,0.7324448824
0.685546875,0.8208825588
0.448046875,0.3872934878
0.40859375,0.0368481018
0.40859375,0.1960573941
0.41171875,0.0951630548
0.449609375,0.1003865823
0.431640625,0.000110973
0.34609375,0.0001553622
0.505078125,0.0931569785
0.429296875,0.1289891899
0.51484375,0.4529042244
0.534765625,0.7084801793
0.4609375,0.6307932138
0.5578125,0.698346138
0.715234375,0.8995600939
0.457421875,0.2264990509
0.5234375,0.5959286094
0.421484375,0.3512350619
0.61484375,0.7690865993
0.462890625,0.4742900729
0.75078125,0.8167991638
0.550390625,0.7270956039
0.53984375,0.246604234
0.522265625,0.8149928451
0.5015625,0.1669384688
0.3359375,0.5575572252
0.603515625,0.8887599111
0.3296875,0.6194580197
0.3484375,0.0081866933
0.63203125,0.1276458353
0.615234375,0.8983842134
0.316796875,0.2953003645
0.61796875,0.6195140481
0.4796875,0.5295683146
0.72421875,0.7582809329
0.309375,0.5002496243
0.441796875,0.4599259198
0.36953125,0.0005548651
0.483203125,0.1611791551
0.458203125,0.5082116127
0.346484375,0.4677357078
0.45625,0.5875421762
0.418359375,0.4992586076
0.726171875,0.9014443159
0.4578125,0.5192146897
0.503125,0.6943192482
0.365234375,0.122022815
0.33125,0.0170536321
0.760546875,0.9041770101
0.455859375,0.2787661552
0.55078125,0.7571607232
0.440234375,0.104117617
0.530078125,0.8172232509
0.579296875,0.6732888222
0.440625,0.4751778543
0.401171875,0.460727632
0.40390625,0.5487467647
0.61171875,0.8704968691
0.46328125,0.5660110712
0.5703125,0.3815890849
0.323046875,0.4814091325
0.418359375,0.46438393
0.43515625,0.3920879066
0.655859375,0.8231378198
0.553515625,0.8187265396
0.3921875,0.0337459221
0.50390625,0.5355129242
0.480859375,0.3939588964
0.312890625,0.2964104712
0.5921875,0.8043363094
0.46640625,0.7207927108
0.457421875,0.7299617529
0.4203125,0.1600643694
0.444140625,0.7196888328
0.4140625,0.0829949677
0.707421875,0.8811619878
0.38671875,0.4325993061
0.431640625,0.354499191
0.330859375,0.2484662384
0.47734375,0.4910396338
0.66015625,0.8525842428
0.487890625,0.3278594613
0.44765625,0.5280672312
0.7046875,0.8413094282
0.538671875,0.7384210229
0.47265625,0.6672269702
0.471484375,0.5091998577
0.391015625,0
0.50390625,0.1557695121
0.3609375,0.316693604
0.598046875,0.8746476173
0.457421875,0.3989752531
0.541796875,0.6297418475
0.446484375,0.3413981497
0.33125,0.3037623465
0.462109375,0.2453239411
0.73125,0.9023320675
0.725390625,0.9016000628
